sl,gender,attandance,quiz,presentation,assignMaleent,MaleidterMale,Femaleinal
1,Male,0.58,0,0,0,11.5,20
2,Female,0.29,0,0,0,12.5,20.5
3,Male,3.21,4.83,0,0,9,22
4,Male,1.75,0,0,0,0,0
5,Male,6.13,8.5,6.1,3,8.5,22
6,Male,5.54,11.33,5.8,4,10,33
7,Male,2.63,0,0,0,6,0
8,Male,4.67,7.67,5.1,2,11,14.5
9,Female,3.5,7.83,5,3,11.5,23.5
10,Male,6.71,9.33,6.5,5,18.5,29
11,Male,5.54,12.33,6.8,5,15,24.5
12,Female,6.71,14.67,7,5,17.5,31
13,Male,4.67,10,6.4,2.5,10,13
14,Male,3.21,4.67,0,2,4.5,15
15,Male,3.21,2.67,5.7,1.5,5.5,15
16,Male,3.5,6.33,5.7,3,7.5,23
17,Male,1.46,0,0,0,0,0
18,Male,4.69,6,5.7,3,7.5,22.5
19,Male,4.38,10.17,5.7,1,13.5,30
20,Female,6.42,8.33,5.4,3,9,22
21,Male,5.55,5.67,0,3,14.5,25.5
22,Male,7,7.33,5.7,3,10,26
23,Male,4.96,9.83,5.4,3,14,32
24,Female,6.42,11.67,5.7,3,16.5,18
25,Male,4.67,10.67,5.7,2.5,12.5,14.5
26,Male,5.54,8.67,5.3,2.5,6,22
27,Male,5.25,10.33,5.8,4,14.5,30
28,Male,5.25,11,6.2,4,15,33
29,Male,4.08,5.67,5.6,3,10,26
30,Male,4.96,9.5,5.8,2,10.5,22.5
31,Female,7,12,5.7,5,13,32
32,Male,4.96,8,6,2,6,23.5
33,Male,7,12,6.1,5,15,34
34,Male,6.71,12.83,6,4,17,35
35,Female,4.96,9.33,6.2,4.5,11,25
36,Male,6.13,8.67,5.7,3,15,26
37,Male,6.71,13.33,6,5,19,35
38,Female,6.71,10.67,6.1,3,13,30
39,Male,6.42,12.17,6.8,5,19,28
40,Male,6.71,11.33,5.6,3,14,23.5
41,Female,6.13,10.33,6.1,4,11,27
42,Male,6.71,11.17,5.7,4,17.5,34
43,Male,6.42,10,5.9,3,16,33.5
44,Male,3.11,1.67,0,3,12,14.5
45,Male,0,0,0,0,0,0
46,Male,3.39,0,0,0,0,0
47,Female,6.61,11.33,6.3,4,13,28
48,Male,2.72,4,0,0,10.5,22
49,Male,6.22,12,6.6,3.5,14,32
50,Male,4.67,1.67,0,0,0,0
51,Male,5.06,4,5.7,2.5,14.5,22.5
52,Female,0,0,0,0,4.5,0
53,Female,1.56,9,6.4,3.5,11.5,27.5
54,Male,0.39,0,0,0,4,7.5
55,Male,0.39,0,0,0,16,0
56,Male,0,0,0,0,4,0
57,Male,0,0,0,0,4,0
58,Male,1.94,2.33,6.3,0,11,18.5
59,Male,0,0,0,0,5.5,0
60,Male,0.39,0,0,0,4,0
61,Male,5.44,13.67,0,5,19,31
62,Female,6.61,9.17,6.3,2.5,13.5,31
63,Male,7,9.17,6.2,2,11,24
64,Female,3.11,7.83,6.4,4,15,29
65,Female,6.22,8,6.3,3.5,10,30
66,Male,4.67,12.83,0,3.75,17,31
67,Male,5.83,8.83,0,3.5,12.5,18.5
68,Male,7,11.33,7.2,5,20.5,31
69,Male,4.67,8.17,6.3,3,7.5,22
70,Male,3.89,8.33,6.6,2.5,12.5,20.5
71,Female,6.61,12.67,5.9,4,15,30
72,Male,6.22,13.33,7,4,11.5,23
73,Male,4.67,9.83,6.5,3,15,26
74,Male,6.22,10.83,6.3,3,9.5,24
75,Male,6.65,11.67,6.5,5,15,24.5
76,Male,7,11,7.5,4.5,15.5,31
77,Male,7,9.83,6.5,4,10,32
78,Male,5.54,5.67,7,5,18.5,32.5
79,Female,5.06,13.67,6.4,4,15,30
80,Male,5.16,0.83,6.3,0,3.5,0
81,Male,6.26,4,6.5,4,7.5,21
82,Male,5.89,2.67,6.3,2,3,14.5
83,Male,5.16,7.67,5,3,4,24.5
84,Male,2.58,7,6,2,8,26
85,Female,3.26,8.17,5.9,4,14.5,30.5
86,Male,5.53,10.83,6.2,3.5,11.5,31.5
87,Male,6.26,8,6,5,12,37
88,Male,6.26,9.5,6.7,3.5,21.5,33
89,Female,7,7.5,6.2,4,9.5,31.5
90,Female,5.53,10,6,3.5,13.5,30.5
91,Female,5.89,10.83,5.6,5,11.5,35.5
92,Female,5.89,13.67,5.6,3.5,10.5,20
93,Male,5.89,10.67,6.5,3.5,6.5,36
94,Male,5.53,12.5,6.1,5,12,33
95,Male,5.89,9.33,6.3,5,11,26.5
96,Female,6.26,8.5,6.2,5,6,28
97,Male,6.26,7.33,6,3.5,9,32
98,Female,6.26,9.67,6.1,5,7,35
99,Male,7,9.17,6.1,5,11,31
100,Male,9,12.5,6.2,5,9,30
101,Male,6.26,6.83,6.2,3,11.5,25.5
102,Male,5.89,8.5,7,4,12.5,23.5
103,Female,6.26,9.67,6.3,5,13.5,28.5
104,Male,6.63,7.5,6.6,3,13,32.5
105,Male,7,12.33,7,4,21,33.5
106,Male,7,9.83,6.7,4,11.5,30
107,Female,6.63,8.33,6.8,4,9,35.5
108,Male,6.26,4.5,6.6,4,2.5,16
109,Male,2.95,2.3,5.9,3,9,21
110,Male,6.63,3.67,5.5,3,4,26.5
111,Female,6.26,10.67,5.9,5,8.5,33
112,Male,6.63,4.67,5.9,4,5,33
113,Male,6.26,8.83,6.2,3.3,7.5,12
114,Male,7,11.33,6.4,5,11.5,33
115,Male,5.89,6.67,6,3,9,34
116,Male,5.53,6.67,5.9,3,5,34.5
117,Female,4.79,6.33,6,3,9.5,14.5
118,Male,5.89,8.83,6.3,3.5,7,28
119,Male,0.32,0,0,0,0,0
120,MaleFemale,0,0,0,0,0,0
121,Male,1.27,0,0,3,13,0
122,Male,2.23,0,0,3,6.5,18
123,Male,6.05,13.83,6.2,2,12.5,34
124,Male,6.68,11.5,6.8,4,21.5,31.5
125,Male,7,12.67,6,3.5,14,33
126,Male,6.36,8,5.8,3,8,23
127,Female,5.09,9,6.6,4,7,32.5
128,Male,7,10.17,5.6,3,11,24
129,Male,5.41,8,6.4,3,15,33
130,Male,3.5,0,0,0,17.5,0
131,Male,4.14,3.5,0,0,14.5,0
132,Male,6.36,9.33,6.3,3.5,13.5,31
133,Male,3.5,9.67,6.2,3,20,28.5
134,Male,5.73,9.17,6.7,1,4.5,29
135,Male,6.68,11.33,6.8,4,15.5,35
136,Female,6.68,10,5.9,3,13,25.5
137,Female,6.36,11.83,5.9,4,5,23.5
138,Female,4.14,10.17,6.7,4,11.5,27.5
139,Female,6.68,11.17,6.7,4,9,31.5
140,Male,5.09,11.67,5.4,4,15.5,27.5
141,Male,6.68,13.83,6.8,4.5,15,22.5
142,Male,5.73,7.17,5.9,3,3.5,29
143,Male,6.05,13.33,6.2,4,13.5,26
144,Female,5.09,11.17,6.2,3,16.5,28.5
145,Male,6.36,14.67,6.9,4.5,22.5,35.5
146,Female,6.05,12,6.7,4.5,14,26
147,Male,4.77,7.5,5.8,3,10,29
148,Male,5.41,13.17,6,3.5,12.5,31.5
149,Female,3.82,12.33,6.6,3.5,0,33
150,Male,6.05,10.67,5.6,4,10,28
151,Female,2.86,8.17,6.6,3,11,18
152,Male,2.72,0.5,0,0,9.5,0
153,Male,0.78,0,0,0,0,0
154,Male,6.22,10,6.3,3.8,15.5,27.5
155,Male,1.17,0,0,0,0,0
156,Female,3.11,9,6.4,3.2,12.5,36
157,Female,2.33,0.67,6.2,0,12.5,24
158,Male,3.5,7.67,5,0,8,25
159,Male,3.5,3,0,0,8.5,0
160,Male,3.5,1.67,0,0,17,27
161,Male,7,11.5,7,4.2,24.5,32
162,Male,6.61,10.83,6.3,3,11,26.5
163,Male,7,8.67,6.5,3,19.5,34.5
164,Male,6.22,10.67,6.2,3.5,13.5,29
165,Male,4,6,6.8,3.5,7.5,34.5
166,Female,6.61,9,6,2.5,10.5,29.5
167,Male,6.22,8.67,6,2.8,9,11.5
168,Female,6.22,10.67,7.4,4,24.5,35
169,Male,6.61,9.5,7.2,4,19.5,22.5
170,Female,7,10.83,7,3.8,16.5,35
171,Male,7,8.67,7.1,4,16.5,40
172,Male,7,12.33,6.7,4.2,17.5,36.5
173,Male,7,11.17,6.9,4,18,38
174,Male,6.61,11.33,6.8,4,15.5,31
175,Female,6.61,11.67,6.9,4,20.5,32
176,Female,6.22,9.17,6.5,0,16.5,0
177,Male,6.61,12.5,6.7,4,10,35
178,Female,6.22,10.17,6.8,4,15.5,38
179,Male,6.61,10.33,7.2,3.6,16.5,32
180,Female,5.83,8.5,6,2.6,14,258
181,Male,7,10.5,6.6,4,18,36
182,Female,7,11,6.6,3.5,18,33
183,Male,6.61,11.17,7.1,5,16,34
184,Male,7,9.5,6.6,4,24,21
185,Male,7,12.83,6.6,4,14,37
186,Male,6.61,9.83,6.8,4.5,16.5,35
187,Male,6.61,9.17,6.2,3.5,8,34
188,Male,6.22,7.67,6.2,3.5,12.5,33
189,Male,6.22,10.83,6.6,4,11.5,10
190,Male,5.06,3.33,6.2,0,0,0
191,Male,2.43,0,0,0,0,0
192,Male,3.65,0,0,0,3,0
193,Female,3.96,5.33,5.1,5,1,8
194,Male,2.13,0,0,0,10,0
195,Male,4.57,9.17,7,5,4,10
196,Male,5.48,10.17,5.5,5,14,14.5
197,Female,4.87,8.67,0,0,1,8.5
198,Male,5.48,8.67,6.2,5,12,30
199,Female,6.09,12.17,7,5,13,31
200,Female,7,9.5,5.7,5,11,21
201,Male,6.39,8.5,6.4,5,18.5,24.5
202,Male,6.7,12.17,6.3,5,10,29
203,Male,5.48,6.67,6,5,5,17
204,Male,6.39,7.33,6.2,5,13.5,16.5
205,Male,6.09,9.17,0,5,9.5,20
206,Male,6.39,8.33,6.1,5,11,14
207,Male,6.09,9.67,6.8,5,20,31.5
208,Male,5.78,10.5,5.6,5,13,19.5
209,Male,6.7,8.33,6.3,5,9,24.5
210,Male,5.48,8,6,5,9,26.5
211,Male,6.39,9.67,5.5,5,14.5,30
212,Male,6.7,11.67,6.9,5,19,31
213,Male,6.39,6.83,5.9,5,7,18
214,Male,6.09,6,6.1,5,3,18
215,Male,7,8.17,6.9,5,8,26.5
216,Male,5.48,4.17,5.4,5,8,16.5
217,Male,6.09,9.33,5.5,5,8.5,30.5
218,Male,6.7,10.5,6,5,18.5,32.5
219,Male,6.7,5.67,5.7,5,3.5,17.5
220,Male,5.48,5,5.6,5,5.5,30
221,Male,5.17,5,5.5,5,9,22
222,Male,6.09,5.67,0,5,13,29.5
223,Male,6.39,8.17,6.5,5,13,25
224,Female,5.48,8.83,5.9,5,7,22
225,Male,6.7,11.17,5.9,5,8,35
226,Male,5.78,7.5,6,5,7,23
227,Male,5.48,10.17,6.1,5,17.5,30
228,Male,7,11,7.2,5,20,38
229,Male,7,6.17,6.6,5,20,29.5
230,Male,6.7,10.17,5.4,5,4,35
231,Male,6.7,9.83,6,5,8.5,28
232,Male,6.9,10.5,6.3,5,20,37
